Temperature,Humidity,SoilMoisture,PredictedYield,DiseaseRiskScore
19.01,69.7,70.22,18.0,26.36
30.89,82.89,36.76,18.0,58.73
23.89,45.88,58.57,18.0,27.29
36.54,81.86,61.65,18.0,56.99
18.16,69.77,50.76,18.0,25.93
22.84,92.96,38.32,18.0,65.87
17.61,58.8,32.76,18.0,29.79
36.27,74.79,21.99,18.0,58.85
35.18,91.26,38.24,18.0,66.73
20.93,45.64,59.19,18.0,23.34
30.18,91.55,76.3,18.0,74.63
33.8,77.83,72.27,18.0,62.31
27.77,43.73,65.96,18.0,15.99
27.18,56.55,67.31,18.0,30.69
20.56,78.95,59.9,18.0,41.86
17.14,43.7,35.62,18.0,7.81
35.64,72.02,74.43,18.0,63.28
35.71,59.02,60.24,18.0,48.7
29.56,74.15,53.63,18.0,44.65
22.8,42.52,26.66,18.0,19.34
23.03,87.93,46.82,18.0,55.62
31.7,93.54,47.62,18.0,73.89
35.63,93.29,71.87,18.0,82.69
35.4,81.23,52.8,18.0,58.54
32.94,47.15,42.82,18.0,29.72
29.77,81.7,78.61,18.0,54.52
16.94,41.35,26.64,16.71,5.0
18.72,41.22,45.35,18.0,7.69
35.67,57.8,22.52,18.0,55.69
28.95,66.88,64.39,18.0,33.42
15.21,82.37,75.08,18.0,38.63
17.33,77.58,36.8,18.0,40.41
30.26,64.52,71.5,18.0,42.82
15.12,55.05,37.53,18.0,13.27
18.7,94.84,74.65,18.0,48.18
27.62,63.44,65.24,18.0,38.94
30.91,64.83,68.29,18.0,39.54
30.0,49.0,21.08,18.0,16.79
20.16,83.71,77.77,18.0,52.44
31.38,78.15,63.6,18.0,60.84
20.46,52.14,38.29,18.0,18.41
22.48,44.53,69.76,18.0,15.03
32.17,77.43,36.89,18.0,61.79
29.94,76.0,72.37,18.0,53.34
34.53,55.03,26.75,18.0,43.66
30.13,92.3,62.22,18.0,65.78
28.07,48.31,52.44,18.0,31.16
17.15,63.78,25.79,18.0,26.03
23.46,91.9,34.51,18.0,59.18
21.1,63.09,20.74,18.0,22.59
20.61,75.12,48.13,18.0,40.68
37.38,61.87,38.08,18.0,44.91
24.04,55.08,55.9,18.0,22.31
35.52,94.12,37.83,18.0,71.88
29.52,62.51,38.0,18.0,34.07
33.28,89.18,64.59,18.0,79.17
26.56,52.65,22.89,18.0,33.23
28.27,51.72,74.17,18.0,37.56
26.33,41.71,71.14,18.0,10.22
19.49,75.84,60.07,18.0,38.8
31.62,60.27,55.59,18.0,33.63
21.46,87.54,73.54,18.0,48.16
15.56,66.03,31.12,18.0,19.8
29.85,93.25,24.74,18.0,73.97
19.07,50.2,34.37,18.0,12.61
36.63,87.77,67.67,18.0,76.99
36.94,82.71,22.08,17.79,70.47
36.04,82.4,54.97,18.0,77.51
23.51,86.46,79.73,18.0,45.95
15.36,81.86,71.34,18.0,44.81
36.35,74.44,51.29,18.0,64.89
24.85,47.22,23.82,18.0,14.54
37.23,41.79,69.88,18.0,35.66
37.16,90.65,55.94,18.0,76.63
34.62,73.92,26.9,18.0,55.29
21.77,83.81,25.63,18.0,44.54
23.86,66.48,74.58,18.0,32.03
34.58,46.45,60.15,18.0,41.65
22.29,46.89,69.76,18.0,15.77
18.9,77.71,72.74,18.0,43.27
27.81,63.67,54.31,18.0,34.26
36.53,51.03,51.05,18.0,34.21
31.01,67.04,45.83,18.0,50.87
28.11,43.53,39.02,18.0,13.56
17.24,72.01,46.08,18.0,29.94
29.15,54.79,66.43,18.0,32.07
37.77,83.87,56.12,18.0,70.14
18.22,57.07,73.55,18.0,18.83
26.92,65.04,46.6,18.0,40.29
35.18,40.64,56.43,18.0,30.37
32.04,43.98,57.88,18.0,29.52
31.03,61.59,55.5,18.0,35.61
31.16,66.4,62.16,18.0,43.65
23.27,73.0,34.25,18.0,46.76
21.75,56.04,50.74,18.0,27.86
33.62,78.22,26.25,18.0,52.17
33.63,87.31,43.07,18.0,69.07
34.94,82.89,49.26,18.0,55.11
36.0,42.18,59.13,18.0,29.61
26.76,66.43,77.03,18.0,48.85
26.53,45.77,56.04,18.0,15.55
33.36,53.31,64.62,18.0,31.88
29.95,94.27,50.38,18.0,72.65
31.15,47.84,58.05,18.0,20.47
33.3,67.44,24.26,18.0,45.65
35.47,74.0,35.26,18.0,60.59
22.77,78.64,41.71,18.0,42.09
23.64,70.78,48.35,18.0,38.07
17.16,40.54,22.74,17.35,7.03
28.3,57.96,28.4,18.0,35.78
15.83,68.47,36.61,18.0,28.3
25.71,44.83,78.29,18.0,16.67
27.48,59.28,39.88,18.0,35.66
21.59,41.83,48.92,18.0,9.64
28.59,44.32,31.77,18.0,23.94
15.7,61.83,56.65,18.0,18.28
15.86,47.3,36.84,18.0,6.84
33.92,71.21,32.42,18.0,48.11
23.28,77.92,50.99,18.0,45.1
17.92,84.03,20.33,18.0,39.79
27.01,51.01,20.46,18.0,20.1
32.71,49.21,33.14,18.0,32.77
19.96,45.75,22.2,17.92,12.77
29.33,75.0,26.48,18.0,54.42
16.96,78.86,40.33,18.0,35.73
16.19,41.74,68.16,18.0,5.17
27.22,91.49,54.32,18.0,65.51
27.43,42.86,50.76,18.0,21.04
29.66,69.77,37.61,18.0,42.06
31.7,79.0,75.91,18.0,57.98
37.44,87.9,43.82,18.0,74.64
26.87,79.27,25.23,18.0,51.23
22.43,84.1,57.02,18.0,39.34
33.29,58.67,26.83,18.0,41.63
21.23,84.82,40.71,18.0,59.93
25.1,44.41,50.44,18.0,15.37
16.8,89.21,72.45,18.0,43.45
15.58,70.12,49.61,18.0,30.01
37.14,84.95,62.14,18.0,71.31
34.23,64.88,79.57,18.0,53.66
31.01,75.4,27.89,18.0,46.77
24.41,68.95,36.48,18.0,42.25
18.99,80.24,43.67,18.0,44.73
18.6,44.49,45.31,18.0,8.06
20.76,43.32,44.66,18.0,12.22
27.63,53.59,74.46,18.0,33.98
31.44,48.77,62.84,18.0,33.78
30.18,87.95,56.47,18.0,57.68
21.44,52.06,38.56,18.0,23.46
36.96,93.67,69.43,18.0,77.12
31.97,58.53,77.3,18.0,39.35
27.75,50.02,69.27,18.0,26.1
29.07,83.43,20.09,18.0,57.09
24.65,76.23,58.18,18.0,51.48
20.7,67.4,23.07,18.0,31.92
23.19,70.54,35.46,18.0,32.85
32.43,79.56,23.57,18.0,56.73
15.33,52.57,56.23,18.0,12.75
17.67,94.8,61.2,18.0,59.44
16.06,93.61,26.87,17.78,53.14
15.94,75.77,43.03,18.0,29.49
34.68,50.97,47.37,18.0,48.07
31.18,77.41,42.14,18.0,56.45
25.91,43.97,27.26,18.0,24.21
17.25,41.69,45.14,18.0,5.0
26.31,54.17,65.07,18.0,30.3
25.89,65.44,24.26,18.0,41.53
18.98,87.75,24.81,18.0,54.7
24.98,79.99,41.29,18.0,54.66
24.17,80.85,76.5,18.0,53.45
29.16,63.4,60.11,18.0,38.17
29.61,59.03,60.72,18.0,33.49
16.04,60.41,41.72,18.0,21.57
23.62,94.32,55.62,18.0,65.29
29.39,42.21,20.61,18.0,19.67
26.57,87.69,58.17,18.0,63.77
34.7,71.83,74.8,18.0,61.89
30.15,64.12,56.75,18.0,37.11
18.75,79.89,72.42,18.0,36.97
16.62,66.77,63.44,18.0,25.75
29.78,88.04,27.23,18.0,64.48
15.61,89.54,74.15,18.0,43.21
28.47,63.19,23.99,18.0,45.42
36.63,55.23,52.04,18.0,44.17
28.24,72.58,28.53,18.0,47.08
23.93,90.18,20.7,18.0,50.08
29.8,51.59,45.32,18.0,23.25
25.54,74.26,37.7,18.0,46.3
27.55,74.74,49.16,18.0,37.28
36.65,80.32,54.63,18.0,69.96
23.88,47.24,22.62,18.0,17.37
37.11,79.37,27.38,18.0,80.84
35.82,90.0,53.52,18.0,84.15
19.5,49.88,40.59,18.0,13.95
16.6,53.06,63.75,18.0,13.43
17.32,93.43,59.14,18.0,56.57
15.42,49.95,70.74,18.0,18.11
17.17,86.99,61.55,18.0,37.36
30.71,67.08,45.8,18.0,36.17
16.64,53.6,60.38,18.0,11.39
22.34,87.89,36.52,18.0,56.02
34.43,64.49,38.38,18.0,50.1
15.54,68.31,67.34,18.0,31.79
33.73,59.76,46.79,18.0,36.4
21.48,72.61,67.9,18.0,26.52
17.72,48.99,69.35,18.0,16.01
31.02,61.51,71.45,18.0,36.32
29.47,93.32,75.0,18.0,57.25
35.18,54.2,45.86,18.0,39.96
31.91,76.12,39.13,18.0,58.85
33.48,57.89,54.93,18.0,39.75
21.49,82.54,42.27,18.0,44.85
19.08,47.2,56.06,18.0,11.07
32.26,93.34,62.34,18.0,69.16
33.56,64.96,61.3,18.0,40.15
37.78,52.98,42.47,18.0,37.94
24.49,44.04,30.01,18.0,18.66
23.56,49.34,45.83,18.0,21.26
32.86,68.59,28.56,18.0,50.12
22.84,58.54,73.41,18.0,22.1
36.41,85.59,40.75,18.0,68.46
34.74,63.7,29.27,18.0,36.41
24.87,53.68,21.53,18.0,26.2
32.27,73.94,58.75,18.0,60.53
32.35,78.87,58.21,18.0,50.6
17.37,49.19,40.44,18.0,8.52
35.76,49.22,24.3,18.0,37.1
26.62,42.02,44.58,18.0,23.26
34.01,80.5,38.67,18.0,59.37
22.36,76.51,60.63,18.0,39.33
35.6,66.1,56.35,18.0,40.75
23.95,86.43,41.88,18.0,54.4
15.25,84.31,33.07,18.0,50.82
35.82,72.19,79.28,18.0,57.82
17.1,87.75,47.24,18.0,46.04
22.34,51.32,61.3,18.0,21.48
36.85,46.16,28.43,17.2,34.04
36.86,54.84,49.14,18.0,37.94
28.19,43.14,21.65,18.0,24.17
29.53,69.21,50.33,18.0,46.64
25.31,91.51,77.84,18.0,60.37
21.74,42.16,43.05,18.0,5.89
22.56,46.72,22.34,18.0,22.48
30.47,64.87,21.86,18.0,46.11
32.3,91.36,43.28,18.0,66.5
33.21,57.39,29.6,18.0,44.56
33.16,67.9,21.4,18.0,46.56
17.1,42.29,65.37,18.0,5.0
26.37,48.16,47.51,18.0,18.45
16.32,94.26,37.35,18.0,42.2
27.64,93.08,74.0,18.0,67.1
25.16,40.27,26.97,18.0,5.0
35.42,92.35,77.36,18.0,68.08
23.07,75.15,38.84,18.0,32.11
17.69,87.74,73.3,18.0,46.48
18.29,65.01,56.18,18.0,26.28
32.51,68.36,69.6,18.0,46.99
29.22,66.89,79.04,18.0,37.78
17.33,76.68,37.3,18.0,30.52
16.93,47.68,77.67,18.0,11.83
31.12,41.65,43.37,18.0,19.77
16.67,56.94,43.13,18.0,19.16
33.9,78.76,40.42,18.0,55.46
31.24,51.1,52.48,18.0,32.19
16.87,77.04,29.25,18.0,42.63
16.95,93.35,53.22,18.0,53.97
37.69,45.16,52.5,18.0,32.23
23.61,76.99,65.71,18.0,46.14
23.52,64.41,70.02,18.0,32.1
33.69,87.75,46.43,18.0,67.83
36.79,49.74,38.14,18.0,35.65
37.68,78.09,35.56,18.0,63.39
32.33,86.1,31.68,18.0,65.57
23.65,91.95,23.46,18.0,53.55
16.92,77.58,40.55,18.0,31.59
32.87,67.34,36.21,18.0,41.23
27.84,73.98,77.99,18.0,39.64
24.76,87.79,53.46,18.0,50.09
35.85,71.38,40.84,18.0,56.52
17.56,41.67,54.83,18.0,5.0
26.33,91.2,28.35,18.0,63.89
15.26,77.92,46.64,18.0,34.99
25.78,77.21,57.57,18.0,38.04
16.29,51.86,49.33,18.0,15.75
17.73,76.24,44.11,18.0,40.56
17.7,61.66,79.63,18.0,18.25
29.93,75.82,72.82,18.0,54.14
32.16,45.86,57.4,18.0,23.43
28.42,76.18,54.16,18.0,50.88
37.13,94.97,57.24,18.0,72.51
23.62,42.65,32.08,18.0,5.0
21.57,93.74,43.71,18.0,55.52
34.98,62.38,22.37,18.0,45.78
20.14,87.89,48.53,18.0,48.26
37.15,83.03,52.58,18.0,62.1
15.28,71.19,33.66,18.0,26.72
37.31,80.61,77.84,18.0,67.37
15.99,88.32,74.57,18.0,45.0
35.5,62.23,63.33,18.0,47.85
27.14,57.99,52.0,18.0,28.83
37.84,76.72,72.2,18.0,69.03
16.7,84.43,27.84,18.0,36.73
27.74,81.93,67.43,18.0,57.17
37.29,83.88,27.49,18.0,74.88
27.03,63.96,67.65,18.0,39.88
29.48,84.98,36.55,18.0,58.76
31.0,46.61,72.63,18.0,24.24
25.45,69.95,76.64,18.0,46.04
29.43,40.32,28.93,18.0,12.0
28.44,57.85,47.76,18.0,28.91
35.73,60.16,78.86,18.0,43.37
16.05,61.79,49.0,18.0,27.36
21.46,78.25,71.81,18.0,45.1
36.86,61.37,55.32,18.0,43.1
35.48,64.68,42.52,18.0,47.59
25.48,53.06,37.15,18.0,22.48
29.26,60.53,32.19,18.0,33.72
21.38,52.5,65.71,18.0,24.58
19.33,44.03,43.19,18.0,5.0
25.67,73.19,50.68,18.0,52.13
23.13,76.75,49.54,18.0,48.15
28.42,74.07,54.64,18.0,53.94
16.79,65.49,71.93,18.0,23.19
37.41,60.89,78.84,18.0,47.47
37.68,87.48,44.46,18.0,65.59
31.06,68.55,69.65,18.0,44.28
27.33,66.36,65.87,18.0,42.51
22.12,41.41,54.41,18.0,17.05
33.72,58.77,77.36,18.0,35.94
30.75,60.91,32.03,18.0,37.72
18.74,61.94,26.56,18.0,24.06
35.95,71.91,71.24,18.0,49.36
33.92,69.35,46.35,18.0,54.31
36.85,73.43,70.82,18.0,55.27
31.69,82.07,73.59,18.0,59.04
29.11,84.71,23.75,18.0,56.79
24.62,79.5,73.01,18.0,44.51
36.45,92.55,46.9,18.0,75.72
34.92,41.0,50.63,18.0,25.82
16.04,50.77,57.6,18.0,9.29
15.61,40.42,75.58,18.0,5.0
23.66,75.61,21.15,18.0,45.27
33.64,89.39,48.61,18.0,77.49
37.71,53.39,61.26,18.0,42.49
18.46,90.99,63.36,18.0,55.84
28.67,43.31,61.55,18.0,13.89
23.76,91.39,28.07,18.0,58.94
37.31,59.34,37.96,18.0,41.19
34.37,45.58,41.52,18.0,22.95
34.28,66.72,68.27,18.0,45.75
25.78,54.12,36.73,18.0,32.86
24.54,55.67,32.64,18.0,31.44
21.29,56.9,77.45,18.0,24.78
16.3,84.17,20.53,18.0,34.18
34.89,69.65,79.87,18.0,51.92
33.7,57.12,60.61,18.0,41.46
37.99,73.57,69.71,18.0,61.39
37.92,79.39,37.68,18.0,56.49
27.77,54.99,20.86,18.0,25.84
32.69,62.75,64.27,18.0,43.43
36.73,46.7,70.05,18.0,37.12
34.54,49.96,64.43,18.0,23.57
20.69,77.46,28.57,18.0,40.67
25.36,49.98,65.21,18.0,23.3
17.97,68.88,66.14,18.0,34.38
36.94,79.0,59.51,18.0,67.54
28.94,45.88,65.97,18.0,26.44
20.26,71.2,70.76,18.0,31.23
30.45,54.11,56.82,18.0,23.44
29.22,92.96,25.32,18.0,64.72
23.24,66.6,49.26,18.0,39.93
17.61,84.33,24.66,18.0,50.67
30.45,70.26,44.45,18.0,51.21
26.97,42.39,44.43,18.0,19.93
32.76,74.82,23.96,18.0,56.73
26.96,92.33,40.93,18.0,60.39
34.6,73.09,26.66,18.0,55.0
27.69,85.06,68.49,18.0,65.86
27.9,88.63,76.86,18.0,56.33
35.16,52.54,24.34,17.82,45.78
24.28,51.66,77.31,18.0,21.1
18.08,73.6,51.35,18.0,41.2
15.66,62.61,37.97,18.0,14.38
32.37,86.19,24.61,18.0,67.58
29.27,89.5,50.04,18.0,59.93
31.19,59.44,67.67,18.0,31.72
19.9,53.03,62.43,18.0,19.33
18.14,82.93,23.01,18.0,48.16
15.33,55.11,24.37,18.0,9.95
23.06,85.24,44.17,18.0,44.15
28.57,63.31,37.72,18.0,38.43
24.02,76.72,33.94,18.0,44.71
25.06,45.25,36.86,18.0,20.64
35.8,74.31,68.21,18.0,63.07
23.01,64.85,75.75,18.0,32.74
26.82,72.26,44.31,18.0,54.03
33.02,49.24,74.37,18.0,33.03
24.12,80.53,39.29,18.0,47.01
29.31,87.45,48.59,18.0,53.74
34.83,51.92,33.56,18.0,35.39
36.84,45.26,58.43,18.0,31.59
18.38,41.3,78.74,18.0,10.4
36.31,75.31,56.21,18.0,62.21
26.32,73.39,41.47,18.0,39.22
20.94,70.07,58.87,18.0,35.94
25.56,52.76,27.38,18.0,28.73
37.54,61.5,73.32,18.0,56.59
26.33,72.7,50.19,18.0,48.94
22.56,67.32,46.96,18.0,38.51
29.57,94.33,55.15,18.0,68.69
20.52,47.5,57.49,18.0,15.97
16.74,78.23,24.31,18.0,43.28
17.96,62.24,60.96,18.0,17.42
17.95,63.55,34.52,18.0,23.5
18.49,79.47,62.84,18.0,36.57
18.19,78.08,69.35,18.0,40.68
29.74,94.52,68.24,18.0,74.94
19.18,47.06,53.15,18.0,8.89
22.95,45.73,51.21,18.0,5.0
35.63,79.84,28.57,18.0,61.06
25.9,71.81,66.52,18.0,47.71
30.35,55.08,36.28,18.0,36.42
18.96,44.37,49.8,18.0,11.28
19.42,44.71,37.06,18.0,8.65
15.94,89.18,28.03,17.55,39.54
18.89,50.55,57.77,18.0,17.24
21.41,57.79,23.26,18.0,20.35
19.07,52.47,64.92,18.0,27.56
17.04,59.52,39.06,18.0,23.26
17.77,43.82,20.01,17.09,5.0
25.6,68.55,50.67,18.0,36.72
19.75,43.72,22.81,18.0,9.11
23.38,84.02,36.57,18.0,49.75
26.58,52.85,62.42,18.0,32.37
30.88,69.7,23.76,18.0,48.64
15.9,88.4,70.36,18.0,41.53
33.39,75.8,20.23,18.0,65.98
29.44,69.31,34.81,18.0,45.73
16.88,57.84,64.45,18.0,22.51
35.09,58.32,38.98,18.0,39.82
36.18,76.82,26.11,18.0,62.92
16.4,94.68,41.61,18.0,53.09
21.37,76.4,36.22,18.0,31.95
33.54,70.68,70.56,18.0,62.15
32.21,80.19,38.8,18.0,65.43
19.24,65.59,67.34,18.0,26.81
19.82,43.31,73.51,18.0,5.0
23.52,70.93,46.03,18.0,40.97
26.14,92.67,74.6,18.0,62.85
29.22,49.64,42.64,18.0,29.09
23.49,77.95,77.84,18.0,46.53
25.64,51.05,25.36,18.0,26.45
32.19,69.47,61.22,18.0,56.45
15.84,45.32,49.63,18.0,8.77
20.81,64.77,43.26,18.0,24.84
31.41,81.59,57.96,18.0,66.02
35.59,59.12,62.23,18.0,52.44
26.77,76.57,20.26,18.0,64.36
27.24,83.75,30.02,18.0,50.12
17.46,90.99,62.78,18.0,50.79
25.29,52.91,59.98,18.0,14.74
27.25,61.96,77.96,18.0,38.71
20.58,48.38,65.66,18.0,12.15
21.19,94.59,77.05,18.0,67.32
23.68,90.99,62.15,18.0,53.8
15.46,69.7,37.88,18.0,19.15
22.41,86.31,26.32,18.0,49.41
19.86,68.65,66.91,18.0,22.51
22.53,74.3,58.65,18.0,44.76
17.75,44.9,22.89,17.54,5.0
35.48,81.54,41.6,18.0,64.62
28.65,47.02,77.41,18.0,13.8
30.62,85.43,50.02,18.0,60.07
33.15,83.01,45.96,18.0,70.99
26.46,78.98,47.46,18.0,52.19
17.0,41.99,32.53,17.4,5.0
27.35,56.67,42.12,18.0,31.11
28.5,54.47,42.19,18.0,30.85
32.15,59.81,23.14,18.0,42.73
24.93,44.82,66.05,18.0,10.5
17.93,91.53,44.99,18.0,53.64
21.53,70.46,69.33,18.0,22.68
23.35,56.8,71.02,18.0,23.02
29.86,61.83,32.72,18.0,36.79
28.13,64.6,59.44,18.0,42.65
23.19,73.03,48.34,18.0,40.83
37.69,68.36,72.81,18.0,48.35
28.93,90.57,32.94,18.0,59.22
20.46,67.33,60.67,18.0,32.96
17.34,94.57,56.47,18.0,52.27
18.52,86.83,37.72,18.0,44.26
20.66,51.47,28.2,18.0,15.4
18.7,91.18,59.1,18.0,54.83
19.29,46.4,64.32,18.0,8.83
21.56,84.96,38.94,18.0,48.98
18.99,60.93,58.69,18.0,35.08
35.63,88.29,43.71,18.0,63.68
16.85,87.74,62.79,18.0,36.55
27.06,84.33,31.95,18.0,59.95
24.44,83.45,73.41,18.0,48.42
37.59,56.76,37.24,18.0,43.11
17.58,44.45,42.07,18.0,5.0
24.15,62.16,23.49,18.0,30.79
37.3,49.54,26.69,17.57,45.75
34.91,78.22,50.95,18.0,64.72
33.79,59.04,36.06,18.0,46.13
20.93,93.66,70.13,18.0,49.44
18.93,75.25,20.88,18.0,31.42
30.38,85.24,42.75,18.0,46.99
36.38,47.29,40.24,18.0,30.46
27.81,87.41,21.16,18.0,64.59
28.15,90.75,27.46,18.0,65.87
21.44,66.79,44.82,18.0,31.64
32.7,73.34,49.57,18.0,53.29
19.3,82.06,44.26,18.0,40.41
22.44,49.62,51.86,18.0,19.48
24.79,67.64,55.71,18.0,41.72
26.68,61.93,20.6,18.0,27.08
20.58,48.05,47.85,18.0,16.09
17.64,60.21,77.81,18.0,26.48
29.04,43.75,51.14,18.0,19.65
